         Curves of the Total Solar Eclipse of 2043 April 09         
+------------------------------------------------------------------+
|                    Rising and Setting Curves                     |
+------------------------------------------------------------------+
|      Time in UT1      |      Latitude      |      Longitude      |
|      18:16:30.00      |     11°33.51'N     |     174°40.21'E     |
|      18:16:00.00      |     11°21.48'N     |     174°49.41'E     |
|      18:15:30.00      |     11°09.54'N     |     174°58.61'E     |
|      18:15:00.00      |     10°57.69'N     |     175°07.78'E     |
|      18:14:30.00      |     10°45.92'N     |     175°16.94'E     |
|      18:14:00.00      |     10°34.25'N     |     175°26.09'E     |
|      18:13:30.00      |     10°22.66'N     |     175°35.22'E     |
|      18:13:00.00      |     10°11.16'N     |     175°44.34'E     |
|      18:12:30.00      |     09°59.75'N     |     175°53.44'E     |
|      18:12:00.00      |     09°48.43'N     |     176°02.53'E     |
|      18:11:30.00      |     09°37.21'N     |     176°11.61'E     |
|      18:11:00.00      |     09°26.07'N     |     176°20.67'E     |
|      18:10:30.00      |     09°15.03'N     |     176°29.71'E     |
|      18:10:00.00      |     09°04.08'N     |     176°38.74'E     |
|      18:09:30.00      |     08°53.23'N     |     176°47.76'E     |
|      18:09:00.00      |     08°42.47'N     |     176°56.76'E     |
|      18:08:30.00      |     08°31.80'N     |     177°05.74'E     |
|      18:08:00.00      |     08°21.23'N     |     177°14.71'E     |
|      18:07:30.00      |     08°10.76'N     |     177°23.67'E     |
|      18:07:00.00      |     08°00.38'N     |     177°32.61'E     |
|      18:06:30.00      |     07°50.10'N     |     177°41.54'E     |
|      18:06:00.00      |     07°39.92'N     |     177°50.45'E     |
|      18:05:30.00      |     07°29.83'N     |     177°59.35'E     |
|      18:05:00.00      |     07°19.84'N     |     178°08.23'E     |
|      18:04:30.00      |     07°09.96'N     |     178°17.10'E     |
|      18:04:00.00      |     07°00.17'N     |     178°25.95'E     |
|      18:03:30.00      |     06°50.48'N     |     178°34.79'E     |
|      18:03:00.00      |     06°40.90'N     |     178°43.62'E     |
|      18:02:30.00      |     06°31.41'N     |     178°52.43'E     |
|      18:02:00.00      |     06°22.03'N     |     179°01.22'E     |
|      18:01:30.00      |     06°12.75'N     |     179°10.00'E     |
|      18:01:00.00      |     06°03.57'N     |     179°18.76'E     |
|      18:00:30.00      |     05°54.49'N     |     179°27.51'E     |
|      18:00:00.00      |     05°45.52'N     |     179°36.25'E     |
|      17:59:30.00      |     05°36.65'N     |     179°44.97'E     |
|      17:59:00.00      |     05°27.89'N     |     179°53.67'E     |
|      17:58:30.00      |     05°19.23'N     |     179°57.64'W     |
|      17:58:00.00      |     05°10.68'N     |     179°48.97'W     |
|      17:57:30.00      |     05°02.24'N     |     179°40.31'W     |
|      17:57:00.00      |     04°53.90'N     |     179°31.66'W     |
|      17:56:30.00      |     04°45.67'N     |     179°23.03'W     |
|      17:56:00.00      |     04°37.54'N     |     179°14.42'W     |
|      17:55:30.00      |     04°29.53'N     |     179°05.82'W     |
|      17:55:00.00      |     04°21.62'N     |     178°57.24'W     |
|      17:54:30.00      |     04°13.82'N     |     178°48.67'W     |
|      17:54:00.00      |     04°06.14'N     |     178°40.12'W     |
|      17:53:30.00      |     03°58.56'N     |     178°31.58'W     |
|      17:53:00.00      |     03°51.09'N     |     178°23.06'W     |
|      17:52:30.00      |     03°43.74'N     |     178°14.56'W     |
|      17:52:00.00      |     03°36.49'N     |     178°06.07'W     |
|      17:51:30.00      |     03°29.36'N     |     177°57.59'W     |
|      17:51:00.00      |     03°22.34'N     |     177°49.13'W     |
|      17:50:30.00      |     03°15.44'N     |     177°40.69'W     |
|      17:50:00.00      |     03°08.64'N     |     177°32.26'W     |
|      17:49:30.00      |     03°01.97'N     |     177°23.85'W     |
|      17:49:00.00      |     02°55.40'N     |     177°15.45'W     |
|      17:48:30.00      |     02°48.96'N     |     177°07.07'W     |
|      17:48:00.00      |     02°42.63'N     |     176°58.71'W     |
|      17:47:30.00      |     02°36.41'N     |     176°50.36'W     |
|      17:47:00.00      |     02°30.31'N     |     176°42.03'W     |
|      17:46:30.00      |     02°24.33'N     |     176°33.71'W     |
|      17:46:00.00      |     02°18.47'N     |     176°25.41'W     |
|      17:45:30.00      |     02°12.73'N     |     176°17.13'W     |
|      17:45:00.00      |     02°07.11'N     |     176°08.86'W     |
|      17:44:30.00      |     02°01.61'N     |     176°00.61'W     |
|      17:44:00.00      |     01°56.22'N     |     175°52.38'W     |
|      17:43:30.00      |     01°50.96'N     |     175°44.16'W     |
|      17:43:00.00      |     01°45.82'N     |     175°35.96'W     |
|      17:42:30.00      |     01°40.81'N     |     175°27.78'W     |
|      17:42:00.00      |     01°35.92'N     |     175°19.61'W     |
|      17:41:30.00      |     01°31.15'N     |     175°11.46'W     |
|      17:41:00.00      |     01°26.50'N     |     175°03.33'W     |
|      17:40:30.00      |     01°21.99'N     |     174°55.21'W     |
|      17:40:00.00      |     01°17.60'N     |     174°47.11'W     |
|      17:39:30.00      |     01°13.33'N     |     174°39.03'W     |
|      17:39:00.00      |     01°09.20'N     |     174°30.97'W     |
|      17:38:30.00      |     01°05.19'N     |     174°22.92'W     |
|      17:38:00.00      |     01°01.31'N     |     174°14.89'W     |
|      17:37:30.00      |     00°57.56'N     |     174°06.88'W     |
|      17:37:00.00      |     00°53.95'N     |     173°58.89'W     |
|      17:36:30.00      |     00°50.47'N     |     173°50.91'W     |
|      17:36:00.00      |     00°47.12'N     |     173°42.96'W     |
|      17:35:30.00      |     00°43.90'N     |     173°35.02'W     |
|      17:35:00.00      |     00°40.82'N     |     173°27.10'W     |
|      17:34:30.00      |     00°37.88'N     |     173°19.20'W     |
|      17:34:00.00      |     00°35.08'N     |     173°11.31'W     |
|      17:33:30.00      |     00°32.41'N     |     173°03.45'W     |
|      17:33:00.00      |     00°29.88'N     |     172°55.60'W     |
|      17:32:30.00      |     00°27.50'N     |     172°47.78'W     |
|      17:32:00.00      |     00°25.25'N     |     172°39.97'W     |
|      17:31:30.00      |     00°23.16'N     |     172°32.19'W     |
|      17:31:00.00      |     00°21.20'N     |     172°24.42'W     |
|      17:30:30.00      |     00°19.40'N     |     172°16.67'W     |
|      17:30:00.00      |     00°17.74'N     |     172°08.94'W     |
|      17:29:30.00      |     00°16.23'N     |     172°01.24'W     |
|      17:29:00.00      |     00°14.87'N     |     171°53.55'W     |
